FOF_Halo_ID,Subhalo_ID,sigma_0_projectx,sigma_3_projectx,sigma_5_projectx,sigma_10_projectx
0,0,2021.1931324091586,5.971307180253768,5.971307180253768,7.969293735866778
262218,151738,652.1917023926629,652.1917023926629,652.1917023926629,16.3352414025124
488885,281538,347.1462079796778,817.1984615942573,5.868877771777235,14.110483127980036
708444,401947,1161.8822394803335,9.492745624604758,9.413181936237299,12.146501065070177
905707,515440,7405.546740477312,6691.570491567982,6520.073333740034,6518.734126235642
1099467,629105,55.99272753067398,2.7813232446221354,2.7813232446221354,6.496772148177064
1289969,731681,140.43824594988405,28.28205618715243,12.889182478804365,23.30826973675388
1467438,830848,1474.2471473245155,1474.2471473245155,2658.641051246815,2662.057082491792
1617102,928389,41.739176724894925,58.856365901308905,11.398644581605945,24.24669208110597
1791552,1014414,341.9398659287402,1.2521227485944644,4.141098077318914,20.60909178855036
1954520,1110520,1598.9987910657608,1598.9987910657608,1598.9987910657608,1598.9987910657608
2106983,1194856,888.7809321843397,888.7809321843397,888.7809321843397,35.81810079610217
2249928,1278811,1268.5540940943974,20.38206234338242,24.07014091545898,23.64506275512733
2412912,1358970,1083.936944860195,65.94708900805152,67.00107046462291,71.44641308655463
2560083,1434922,2.7943562978949315,1.3588044729732378,4.38921374981649,5.016753648425209
2697771,1510099,1096.6947734308674,1096.6947734308674,1096.6947734308674,73.6483364889858
2825627,1579820,572.6367717756278,101.5613899996943,105.94869114410447,114.17182290285969
2952601,1648682,1606.5566278507554,1606.5566278507554,5.831652428949376,9.436893493431496
3080297,1717913,3.6483270098508997,3.6483270098508997,4.954410149512925,11.15511840850952
3196088,1783556,5.450946155077848,4.4555026939040445,4.4555026939040445,4.417708890506206
3298239,1850099,445.387129828457,2.704862390437873,2.704862390437873,2.79943247491643
3407987,1918602,1.2370483767984577,1.3472194978926912,1.2370483767984577,3.5730512994640695
3533783,1986010,420.7556038314406,422.81421593688896,1.0427519192008416,4.149617703358953
3637925,2044071,2002.6495597943683,2001.294554933727,2001.294554933727,1035.7114508376517
3741376,2103793,6.3913136874978465,4.918801312956401,2.6960689516733622,1.0780298737248204
3846078,2169273,1036.059317780432,1037.4134361300787,1037.4134361300787,1039.8263621874903
3958049,2226258,149.0702721933905,1.721581345416024,1.483017039005218,4.141788508089198
4060554,2284021,1.3980291148474326,2.669838855449128,2.4344817441012085,3.19688221643415
4164126,2346051,230.987590239771,1.222998490316774,2.623967383278876,2.623967383278876
4268069,2403409,2.7255997747730767,1.3139286717103933,1.3139286717103933,4.431644784178518
4365334,2465493,878.2061745109669,878.2061745109669,878.2061745109669,696.3116288528136
4471204,2526359,567.6477821078477,7.20290402520563,7.568881855435475,5.925482894371569
4578137,2586070,59.638267707852435,62.24409953547984,57.21085513339435,55.853290866899805
4679229,2641258,978.8925775615768,978.8925775615768,978.8925775615768,978.8925775615768
4770290,2702220,172.2685860001879,178.79649620948442,176.67823150513985,173.06508669698434
4863078,2760419,89.54022524441736,2.516911036474216,6.205924995406333,25.916888861136346
4963084,2819463,4.47557699309888,5.504481828685787,6.770202381847634,8.892178827306703
5055393,2877270,2.4681567258498798,0.9477246448427169,0.9477246448427169,0.9477246448427169
5161003,2937357,0.966848659325699,1.205917980481913,1.3774604609756536,1.205917980481913
5263968,2996855,2847.9082777077233,2847.9082777077233,2847.9082777077233,2846.6654966262563
5360800,3052457,98.13090194400273,0.9411890814755817,0.9411890814755817,1.4071917660170703
5457549,3108044,4.838669202968172,3.5288025083850014,2.6209869006701125,1.1597082743396172
5549122,3163885,1180.1791935321298,56.97479866296377,56.97479866296377,51.458343823754575
5641027,3217698,1.183930655424679,1.183930655424679,1.183930655424679,1.183930655424679
5730502,3278015,1419.652046094384,1.0383068024146525,1.0383068024146525,1.0383068024146525
5815866,3331341,1635.4902521843012,638.0552605745364,638.0552605745364,638.0552605745364
5914383,3381764,5.52687018147761,0.9416158213776542,0.9903713023377934,2.5631470835955255
6004326,3433975,628.5112315138924,1.212208484899161,1.2122051553559778,2.6738432716578435
6091342,3493418,1.421658705890402,2.7637075871988386,2.7637075871988386,2.8568359911740284
6174196,3546529,453.88708212950854,453.88708212950854,453.88708212950854,453.88708212950854
6264728,3600387,4.717392172144241,2.51360009831031,2.51360009831031,1.0550669485883546
6355787,3649939,1137.2142504004466,32.496110628678714,28.409300231433786,14.892102636737322
6452837,3697942,1041.893020651045,1.0868387141222065,1.0868387141222065,2.545283495459336
6542554,3749850,1.1515757295381812,2.904500967853125,4.437625084812247,5.125281001217579
6632190,3799247,741.0587306704452,0.8559432752114904,2.8733244728758756,17.905145985039642
6712233,3848097,1082.1269861842725,245.6061940455533,245.19836187507292,244.55689490897961
6797390,3898909,765.4218123883495,527.5553433513813,102.15121473473242,97.19239917186606
6884970,3948022,722.1987199292689,2.4002732344213964,0.801704317961164,3.968358862937519
6975114,3995377,184.23306986777717,152.45269078554745,158.42783313717882,158.02834423794647
7050334,4045388,1284.2774075692919,5.87744319142738,7.910649994010079,13.198135241356042
7123262,4091803,834.2638411992194,1.067777953434546,1.067777953434546,7.770844148295284
7200224,4139048,1076.5650178783815,4.265533766449992,4.265533766449992,10.049909023660913
7284734,4187566,324.2653910217288,328.55695031364604,296.07103266953317,286.98460708369754
7372060,4234683,15.817844186572584,3.1184215607509223,3.562865505939441,8.227276107419227
7470527,4285372,1046.6508432451783,1046.6508432451783,1046.6508432451783,14.410251169004075
7554890,4327624,3355.1419964513866,3355.1419964513866,3355.1419964513866,2673.409541737975
7626151,4371662,1004.6647777088853,910.375031820029,910.375031820029,17.8146456027849
7700771,4421012,162.44174603855907,65.11242376367498,55.8486143975729,51.323455286799195
7785562,4469972,784.213545732241,2.9430578802223186,2.9171689906194804,0.931663641985232
7869050,4516949,1069.0282080892703,0.9676222562024449,0.9676222562024449,0.8683147379913075
7944628,4560263,954.8880036908566,132.41210794171806,7.927575833051004,4.052608816335288
8026188,4604862,1235.3597147625296,0.9462449269275601,0.9462449269275601,2.9085185117711623
8100641,4654460,749.3778284014581,749.3778284014581,749.3778284014581,749.3778284014581
8179091,4697952,3.5662262919984853,1.2227226902210362,1.126995029919396,4.865485802322008
8260765,4742470,1270.7045758658558,1270.7045758658558,1270.7045758658558,148.94069720095305
8339028,4787459,710.2985663537689,1.1415321662000126,2.580475113218794,5.8306363650753195
8410513,4833292,926.2290916795212,1.2661291407613964,0.9225651925869046,0.9225651925869046
8488420,4879477,273.8673708360749,273.8673708360749,1.1097423305526906,2.5217390470435856
8561921,4924625,0.9577487512118297,0.9577487512118297,0.9577487512118297,0.9577487512118297
8644038,4968444,193.55936006500136,189.43352039622025,191.08101646808078,190.9069709441251
8732471,5008673,4.853301050389473,1.1682789354315672,1.2917574848428488,1.1682789354315672
8806600,5047444,6.303442276713463,0.9967411630918271,2.4234172951343007,2.7782465972673593
8878897,5089679,2004.8735033105434,2004.8735033105434,2003.61279934663,2000.2000469438397
8954746,5128657,9.637684759203829,10.55560875980237,6.0255828257146025,5.651377939461582
9035624,5166907,482.871972516691,1.2786432142355206,0.7980947677792938,0.7980947677792938
9111731,5206333,870.245225526562,2.3485425401389692,3.97499375090793,6.022999853550916
9187604,5251152,102.30053958735634,103.71437718916398,102.30053958735634,11.519821071628757
9262342,5293336,1.2045288399440481,2.771085816084107,1.3286479058868823,1.2045288399440481
9336845,5334901,135.16457849825255,2.6229965403536717,7.543712486572493,19.92556456849268
9406210,5374472,178.51371100794353,1.1019058117626743,23.56946239825495,24.800813438457194
9475827,5414027,382.09392611408725,382.68245587460194,381.7318074360736,379.2521387674753
9542454,5457265,1.1419570906337788,1.263294259667902,1.2091497255169033,4.204566861319323
9618320,5500393,869.18290053082,1.2461464346934699,4.250059021122336,4.202893037441235
9692480,5543535,3.5537603475713877,2.8542706338247,3.5537603475713877,8.673927073609224
9755953,5585462,1.2579968345271502,1.11305710908762,1.2579968345271502,8.597054808441518
9821916,5622988,155.66555409482484,1.106668462055721,1.106668462055721,5.767971044715797
9898563,5662021,1.3931703199271193,2.7041088517669727,2.7041088517669727,4.0849211392375695
9980528,5701991,2.494177317025599,1.135349310441557,0.9856604764253807,1.135349310441557
10050921,5742550,88.1943524676563,11.113172868258866,9.461947685364425,12.678564376636938
10118255,5780854,1030.3225985373858,1.2152887310054912,1.2152887310054912,4.919456571019977
10182163,5819745,5.831290061896985,5.831290061896985,5.906886394230169,11.952381613654692
10250314,5860190,2.8776758609913267,2.8776758609913267,2.8776758609913267,2.777532157456439
10325230,5898222,5.8148852019854385,5.8148852019854385,5.8148852019854385,7.47027196969408
10388588,5935626,14.060697286216186,12.64504520588365,9.10630303114881,2.6100794798795683
10461290,5975386,704.1299878180886,704.1299878180886,704.1299878180886,704.1299878180886
10523339,6015783,161.20982873810775,385.33391729171586,390.3132899232879,13.118995987529216
10591373,6051780,2.4302557924383836,1.0159406038259138,1.0159406038259138,1.2856205119977675
10653720,6090578,4.722483979123168,4.139880233564103,5.770357415975913,9.0607911084479
10719334,6129057,1.2963848483025358,1.0546456170073677,1.0546456170073677,1.2677146984694911
10789684,6168410,769.6278579714019,769.6278579714019,1.2059229571271295,4.128427065091517
10850667,6205698,549.8401986527638,549.8401986527638,14.664627295552924,19.484865688692558
10913474,6246528,721.4526751451782,721.4526751451782,721.4526751451782,721.4526751451782
10978509,6283650,80.50298341654081,9.282577362048233,9.377249006528082,7.047795433459708
11054451,6323025,132.04015126809813,130.23861773532832,131.95734358283866,4.179732566188686
11114399,6362721,810.8488754598983,809.455008142518,15.433555704988041,14.134588366002966
11181627,6400271,162.8920608131568,5.571516892970793,5.775248787181885,70.75819649094448
11244677,6438804,2.396072882702069,2.396072882702069,2.396072882702069,2.3606009403250483
11306469,6474948,308.8840057316895,2.36204788675802,3.375343760528166,5.714328087942763
11366567,6513711,3.5338167261629554,4.287210848572117,27.44792271956942,38.262631530969884
11427189,6551908,1061.0995045388674,5.031480942937148,7.3205618316026335,11.272847649805051
11494741,6587344,162.46314490845248,1.1687478739474582,1.1687478739474582,1.147620404737754
11557421,6623698,111.90122548879229,237.85578126445455,237.9341124760178,231.10670670086327
11616007,6658663,9.345243240873774,4.358470775107335,4.8773647370287385,3.4975794576749446
11669648,6694835,561.844672708855,560.9841043172984,3.3759220094802638,4.7431223696252856
11728256,6730216,112.38189441663921,105.7734719646868,102.16352366640778,97.1206567719783
11787944,6768469,4.4909462868009005,2.4274047803925174,3.9821305324710057,9.055294655959583
11842426,6803322,338.0246142656867,349.2325920352706,2.5389666967995397,1.2379804723416161
11899947,6834891,189.6877293283807,1.0740964277132945,1.0740964277132945,3.5563402664057064
11956131,6868640,729.1258245294858,1.312567118249972,1.1518685402741276,2.661354806159691
12017596,6904361,522.5278501443144,522.5278501443144,522.5278501443144,4.209946750703692
12072494,6934252,1.1501817592122368,1.1795056613165542,1.1795056613165542,4.231993503139989
12125195,6968767,2.6113712591255074,2.6113712591255074,1.1648795362825812,1.1648795362825812
12181986,7003877,454.1631078653896,62.13878667146148,63.94415326472858,73.61310559555528
12241571,7036380,2.6499782343094984,1.2311324598769555,1.2311324598769555,1.1153303499772842
12307120,7066609,973.7155267445263,1.2547227258432627,2.671023237407465,4.227550200477068
12365753,7099341,1386.0218113933104,0.9942026633644402,2.4265191798681034,5.789660945311304
12417474,7133372,3565.975191380203,3639.2566280333535,3639.7396167975553,3639.7396167975553
12469884,7164620,550.1412565391806,10.877484244981153,9.563755297536993,7.376809307195917
12532696,7198395,4.926086695343468,4.200963199301509,2.4278341463586126,2.264961561066927
12583796,7226610,9.473648505105832,3.571754777087725,2.576753066544526,1.3896583953025132
12634279,7259062,263.7756591264588,2.6369398698650484,4.2584452958174435,3.4641936080169122
12691937,7292326,1703.2517689638669,1703.2517689638669,1703.2517689638669,1703.2517689638669
12745892,7326388,533.8917961438385,533.8917961438385,533.8917961438385,10.030175234844325
12797098,7358370,1.0878751370740785,1.0878751370740785,1.0878751370740785,1.2560659669452392
12853020,7390772,1531.1386251956394,1479.9141025675287,1537.582761317323,1536.744388545045
12917382,7420977,162.07395642996318,49.492747263166926,50.75357343770628,48.25591714148109
12977508,7449221,689.4258737244311,688.0259914625905,2.397210440001529,10.354826530340143
13039286,7479583,747.404538797885,1.2065906115175198,1.0444654862854588,4.7015867588696905
13097824,7509022,86.49095300910724,1.2996832702855492,3.6433651206902966,7.261117126912287
13155349,7540474,468.10913306221664,468.10913306221664,468.10913306221664,6.265132198374928
13211163,7568625,154.66104966757993,1.0324973018490948,2.4670828119349872,1.1200183391384142
13265012,7600578,968.2819901700664,6.470246184179586,9.615671129248833,14.28551657338927
13316140,7631495,518.3298707922743,1.0952842511256886,1.161390688261999,2.57536325006978
13371165,7666611,448.27920252295235,445.18863053352436,445.18863053352436,444.4405334475446
13418091,7699738,1.0529836700070134,1.1300458622543852,1.0529836700070134,1.2263393007951517
13474771,7732001,1318.2128083662453,1318.2128083662453,59.73297084489705,54.02707574600717
13532574,7759148,486.68556678662895,486.68556678662895,1194.6560826062184,1187.4074252907146
13580395,7789873,872.9892252424461,15.874499201752121,15.874499201752121,10.988768278975101
13626852,7821379,7.850393618930039,6.199572684247161,6.199572684247161,4.553615669465657
13673079,7849977,457.8060342337486,457.8060342337486,3.603888492195255,11.105458245525353
13721716,7880893,181.7023594380379,181.7023594380379,10.596522452229577,17.766290088511177
13776535,7909976,1.2619481763930231,1.0865601686047877,1.0865601686047877,2.5101395856024755
13826982,7940482,581.896719311592,581.896719311592,581.896719311592,21.905701157688085
13879750,7968500,559.7600309247407,1.2456082665543058,2.761351324598725,5.9225283998989084
13931118,7996331,6.077444376206683,2.9077119206116673,1.401616647905456,10.76496899131306
13983997,8025746,285.46876404045844,285.46876404045844,285.46876404045844,2.64542587748779
14034933,8055180,1781.9835153618167,1781.9835153618167,1781.9835153618167,1781.9835153618167
14088498,8084217,551.2730269468334,1.027763528706393,1.3736436818147482,2.7296528419849952
14130316,8109923,1.089729896133703,1.3461676220515542,1.3461676220515542,3.664179127286668
14174744,8136845,28.626835673123903,3.6145904708117493,4.319958051804683,5.937019139551378
14233330,8167562,0.9455452262821272,1.4014193439258393,2.8508690993600148,6.452202180501131
14287597,8194454,1.4733664098888508,0.9277220023687701,0.9277220023687701,0.9277220023687701
14335799,8223024,769.9748602813348,1.2195451999602436,1.2195451999602436,1.0637836270787688
14378078,8251771,751.1150718745608,751.1150718745608,1.1858459841329885,7.156296528619559
14429550,8280408,2469.4292856809643,2295.8680862147485,2296.396680405154,2294.623406932106
14474652,8306408,3703.011473988668,3086.0397952892376,3086.0397952892376,3086.731619827871
